CnBio_Org_Name,Number and Street,CnAdrPrf_Addrline2,CnAdrPrf_City,CnAdrPrf_State,Postcode,Block-Lot,Primary,Secondary,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
VMS Candy & Cigar Corporation,42 Broadway,Lobby,New York,NY,10004,22-20,Personal and Professional Services,P-Newsstands,MANHATTAN,40.70627,-74.012909,1,1,9,1000812,1000220020,Battery Park City-Lower Manhattan                                          
Daffy's,50 Broadway,,New York,NY,10004,22-22,Shopping,S-Apparel: Men's & Women's,MANHATTAN,40.706449,-74.012761,1,1,9,1000813,1000220024,Battery Park City-Lower Manhattan                                          
Pret A Manger,50 Broadway,,New York,NY,10004,22-24,Casual Eating & Takeout,F-Cafe & Eatery,MANHATTAN,40.706449,-74.012761,1,1,9,1000813,1000220024,Battery Park City-Lower Manhattan                                          
Trade Center Lock & Hardware,45 New Street,,New York,NY,10004,22-24,Personal and Professional Services,P-Hardware & Locksmiths,MANHATTAN,40.706051,-74.01213,1,1,9,1000813,1000220024,Battery Park City-Lower Manhattan                                          
Cafe Bravo,52 Broadway,,New York,NY,10004,22-28,Casual Eating & Takeout,F-Deli,MANHATTAN,40.706493,-74.012725,1,1,9,1000814,1000220028,Battery Park City-Lower Manhattan                                          
Amalgamated Bank,52 Broadway,,New York,NY,10004,22-28,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.706493,-74.012725,1,1,9,1000814,1000220028,Battery Park City-Lower Manhattan                                          
Bank of New York Mellon,1 Wall Street,,New York,NY,10286,23-7,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.707712,-74.011643,1,1,7,1000815,1000230007,Battery Park City-Lower Manhattan                                          
"Christopher Norman Chocolates, Ltd.",60 New Street,,New York,NY,10004,24-1,Shopping,S-Candy & Chocolate,MANHATTAN,40.705411,-74.012418,1,1,9,1000817,1000240001,Battery Park City-Lower Manhattan                                          
Pret A Manger,60 Broad Street,,New York,NY,10005,24-1,Casual Eating & Takeout,F-Cafe & Eatery,MANHATTAN,40.705351,-74.011502,1,1,9,1000817,1000240001,Battery Park City-Lower Manhattan                                          
Au Bon Pain,60 Broad Street,,New York,NY,10004,24-1,Casual Eating & Takeout,F-Cafe & Eatery,MANHATTAN,40.705351,-74.011502,1,1,9,1000817,1000240001,Battery Park City-Lower Manhattan                                          
